Complexity|MSE|Equation
1|0.0062903157|0.55002594
3|0.00522315|(r * 0.027373096)
5|0.004746229|((r * 0.06157828) + -0.68886405)
7|0.0046505295|(((r * 1.7387855) - 23.33308) / g)
9|0.0045175008|((-1.9877417 - (-13.750141 / g)) - (r * -0.09376931))
11|0.00421005|(((r * 0.18271963) - 1.7715839) + ((g * i) * -0.0033013185))
13|0.004187353|((((g - (0.016749786 - i)) * -0.064520545) + (r * 0.18070564)) + -0.47128507)
15|0.003924343|(((((i / r) - r) / -0.28594872) - ((g + i) + i)) * 0.0779617)
17|0.003918889|(((((0.0028837093 - r) / -0.28506237) - ((g + (i + -2.0623362)) + i)) * 0.076705106) + -0.4245402)
19|0.003917514|(((((i / (i + (g / z))) - r) / -0.28642637) - ((g + i) + i)) * 0.07832798)
